"prod_datehour","energy_value"
2021-09-16 00:00:00.000,0
2021-09-16 01:00:00.000,0
2021-09-16 02:00:00.000,0
2021-09-16 03:00:00.000,0
2021-09-16 04:00:00.000,0
2021-09-16 05:00:00.000,0
2021-09-16 06:00:00.000,0.000012
2021-09-16 07:00:00.000,0.006426
2021-09-16 08:00:00.000,0.059126
2021-09-16 09:00:00.000,0.332676
2021-09-16 10:00:00.000,0.753923
2021-09-16 11:00:00.000,2.160511
2021-09-16 12:00:00.000,2.561356
2021-09-16 13:00:00.000,3.290876
2021-09-16 14:00:00.000,3.171586
2021-09-16 15:00:00.000,1.443632
2021-09-16 16:00:00.000,0.593924
2021-09-16 17:00:00.000,0.249270
2021-09-16 18:00:00.000,0.012711
2021-09-16 19:00:00.000,0.000011
2021-09-16 20:00:00.000,0
2021-09-16 21:00:00.000,0
2021-09-16 22:00:00.000,0
2021-09-16 23:00:00.000,0
2021-09-17 00:00:00.000,0
2021-09-17 01:00:00.000,0
2021-09-17 02:00:00.000,0
2021-09-17 03:00:00.000,0
2021-09-17 04:00:00.000,0
2021-09-17 05:00:00.000,0
2021-09-17 06:00:00.000,0.000151
2021-09-17 07:00:00.000,0.039984
2021-09-17 08:00:00.000,0.310792
2021-09-17 09:00:00.000,0.739878
2021-09-17 10:00:00.000,1.484405
2021-09-17 11:00:00.000,2.418357
2021-09-17 12:00:00.000,2.987546
2021-09-17 13:00:00.000,3.165133
2021-09-17 14:00:00.000,2.991131
2021-09-17 15:00:00.000,2.701530
2021-09-17 16:00:00.000,1.943276
2021-09-17 17:00:00.000,0.608026
2021-09-17 18:00:00.000,0.133508
2021-09-17 19:00:00.000,0.000618
2021-09-17 20:00:00.000,0
2021-09-17 21:00:00.000,0
2021-09-17 22:00:00.000,0
2021-09-17 23:00:00.000,0
2021-09-18 00:00:00.000,0
2021-09-18 01:00:00.000,0
2021-09-18 02:00:00.000,0
2021-09-18 03:00:00.000,0
2021-09-18 04:00:00.000,0
2021-09-18 05:00:00.000,0
2021-09-18 06:00:00.000,0.000157
2021-09-18 07:00:00.000,0.046964
2021-09-18 08:00:00.000,0.399534
2021-09-18 09:00:00.000,1.067708
2021-09-18 10:00:00.000,1.802236
2021-09-18 11:00:00.000,2.381331
2021-09-18 12:00:00.000,2.927554
2021-09-18 13:00:00.000,3.120676
2021-09-18 14:00:00.000,3.102247
2021-09-18 15:00:00.000,2.777980
2021-09-18 16:00:00.000,2.045774
2021-09-18 17:00:00.000,0.901126
2021-09-18 18:00:00.000,0.235749
2021-09-18 19:00:00.000,0.001134
2021-09-18 20:00:00.000,0
2021-09-18 21:00:00.000,0
2021-09-18 22:00:00.000,0
2021-09-18 23:00:00.000,0
2021-09-19 00:00:00.000,0
2021-09-19 01:00:00.000,0
2021-09-19 02:00:00.000,0
2021-09-19 03:00:00.000,0
2021-09-19 04:00:00.000,0
2021-09-19 05:00:00.000,0
2021-09-19 06:00:00.000,0.000491
2021-09-19 07:00:00.000,0.027096
2021-09-19 08:00:00.000,0.447369
2021-09-19 09:00:00.000,1.075148
2021-09-19 10:00:00.000,1.916645
2021-09-19 11:00:00.000,2.570446
2021-09-19 12:00:00.000,3.021324
2021-09-19 13:00:00.000,3.218766
2021-09-19 14:00:00.000,1.913378
2021-09-19 15:00:00.000,2.290524
2021-09-19 16:00:00.000,1.966997
2021-09-19 17:00:00.000,1.419287
2021-09-19 18:00:00.000,0.359936
2021-09-19 19:00:00.000,0.002025
2021-09-19 20:00:00.000,0
2021-09-19 21:00:00.000,0
2021-09-19 22:00:00.000,0
2021-09-19 23:00:00.000,0
2021-09-20 00:00:00.000,0
2021-09-20 01:00:00.000,0
2021-09-20 02:00:00.000,0
2021-09-20 03:00:00.000,0
2021-09-20 04:00:00.000,0
2021-09-20 05:00:00.000,0
2021-09-20 06:00:00.000,0.000411
2021-09-20 07:00:00.000,0.074872
2021-09-20 08:00:00.000,0.366184
2021-09-20 09:00:00.000,1.129359
2021-09-20 10:00:00.000,1.993300
2021-09-20 11:00:00.000,2.653514
2021-09-20 12:00:00.000,3.046690
2021-09-20 13:00:00.000,3.195943
2021-09-20 14:00:00.000,3.160994
2021-09-20 15:00:00.000,2.664478
2021-09-20 16:00:00.000,2.389683
2021-09-20 17:00:00.000,1.411494
2021-09-20 18:00:00.000,0.266350
