"prod_date","duration","total","max","co2"
2021-09-16,14,14.636040,3.290876,14.592132
2021-09-17,14,19.524335,3.165133,19.465762
2021-09-18,14,20.810170,3.120676,20.747739
2021-09-19,14,20.229432,3.218766,20.168744
2021-09-20,14,22.355207,3.195943,22.288141
2021-09-21,14,18.593043,2.856027,18.537264
2021-09-22,14,17.580160,3.247155,17.527420
2021-09-23,14,25.434611,3.632538,25.358307
2021-09-24,14,23.294304,3.320319,23.224421
2021-09-25,14,12.893392,2.560702,12.854712
2021-09-26,14,19.328912,3.172309,19.270925
2021-09-27,14,25.069468,3.487446,24.994260
2021-09-28,14,23.648132,3.484013,23.577188
2021-09-29,14,20.620646,3.139159,20.558784
2021-09-30,14,25.766904,3.564115,25.689603
2021-10-01,13,15.908675,3.485158,15.860949
2021-10-02,13,12.090083,2.0648,12.053813
2024-03-29,13,11.241368,1.981078,11.207644
2024-03-30,13,17.771891,2.738545,17.718575
2024-03-31,13,21.929270,3.113803,21.863482
2024-04-01,13,21.138293,3.066927,21.074878
2024-04-02,13,13.180262,2.210248,13.140721
2024-04-03,13,20.327164,3.010205,20.266183
2024-04-04,13,18.143404,2.973127,18.088974
2024-04-05,13,19.670962,3.086826,19.611949
2024-04-06,13,15.713395,2.178691,15.666255
2024-04-07,13,17.504316,2.626342,17.451803
2024-04-08,12,9.802069,2.415627,9.772663
2024-04-09,13,14.330899,2.339615,14.287906
2024-04-10,13,18.773832,2.923476,18.717511
2024-03-18,13,16.565636,2.387669,16.515939
2024-03-19,14,18.604652,2.790715,18.548838
2024-03-20,13,15.705261,2.673378,15.658145
2024-03-21,14,17.805849,2.698315,17.752431
2024-03-22,13,10.651719,2.121361,10.619764
2024-03-23,13,5.825266,1.130196,5.807790
2024-03-24,13,7.908062,1.56424,7.884338
2024-03-25,13,21.320425,3.23901,21.256464
2024-03-26,13,11.602201,2.020518,11.567394
2024-03-27,13,6.827459,1.635042,6.806977
2024-03-04,14,21.978692,2.795958,21.912756
2024-03-05,14,18.613955,2.915747,18.558113
2024-03-06,13,22.135431,3.396815,22.069025
2024-03-07,13,20.570908,3.131111,20.509195
2024-03-08,13,16.400868,2.938822,16.351665
2024-03-09,13,14.295660,2.708709,14.252773
2024-03-10,13,12.439974,2.468205,12.402654
2024-03-11,14,20.842128,3.485203,20.779602
2024-03-12,14,22.192181,3.434304,22.125604
2024-03-13,14,20.883326,3.287694,20.820676
